trigger	scenario	tenuring_age	trigger_bytes	sample	rounds	batch	elapsed_ns	checksum	minor_collections	full_collections	young_input_bytes	survived_bytes	reclaimed_bytes	promoted_bytes	live_bytes	young_bytes	next_threshold_bytes	backing_chunks	backing_capacity_bytes	pause_total_ns	pause_max_ns	cooperative_attempts	cooperative_collections	cooperative_parks	cooperative_timeouts
shared	mixed	3	262144	5	6	6000	133576833	432000000	133	0	38774728	3776640	34998088	1166504	1549624	137360	4194304	28	2555904	24601291	242542	133	133	133	0
shared	mixed	3	262144	6	6	6000	134406833	432000000	133	0	38782648	3788064	34994584	1169000	1553128	138368	4194304	28	2555904	24153670	242875	133	133	133	0
shared	mixed	1	524288	0	6	6000	123508583	432000000	66	0	35877584	1240056	34637528	1240056	1910184	424368	4194304	31	2949120	15799712	302625	66	66	66	0
shared	mixed	1	524288	1	6	6000	123796500	432000000	66	0	35809544	1240528	34569016	1240528	1978696	492408	4194304	31	2949120	15360161	302917	66	66	66	0
shared	mixed	1	524288	2	6	6000	124510250	432000000	66	0	35826176	1240408	34585768	1240408	1961944	475776	4194304	31	2949120	15819287	304375	66	66	66	0
shared	mixed	1	524288	3	6	6000	123741792	432000000	66	0	35894464	1242200	34652264	1242200	1895448	407488	4194304	31	2949120	15713955	310375	66	66	66	0
shared	mixed	1	524288	4	6	6000	123801125	432000000	66	0	35877584	1239680	34637904	1239680	1909808	424368	4194304	31	2949120	15371750	288792	66	66	66	0
shared	mixed	1	524288	5	6	6000	123950250	432000000	66	0	35860448	1240568	34619880	1240568	1927832	441504	4194304	31	2949120	15584793	299541	66	66	66	0
shared	mixed	1	524288	6	6	6000	123515667	432000000	66	0	35571528	1231696	34339832	1231696	2207880	730424	4194304	33	3080192	15580209	302416	66	66	66	0
shared	mixed	3	524288	0	6	6000	125240041	432000000	66	0	38287880	3556216	34731664	1126608	1816048	443680	4194304	31	2949120	15839292	296125	66	66	66	0
shared	mixed	3	524288	1	6	6000	124352958	432000000	66	0	38275504	3564896	34710608	1129264	1837104	462080	4194304	31	2949120	16251289	307125	66	66	66	0
shared	mixed	3	524288	2	6	6000	126069000	432000000	66	0	38297448	3567312	34730136	1128768	1817576	443048	4194304	31	2949120	16237870	300375	66	66	66	0
shared	mixed	3	524288	3	6	6000	125713708	432000000	66	0	38258472	3544448	34714024	1127240	1833688	460688	4194304	31	2949120	16062127	313416	66	66	66	0
shared	mixed	3	524288	4	6	6000	124475709	432000000	66	0	38290896	3562760	34728136	1130768	1819576	443048	4194304	31	2949120	16140754	306667	66	66	66	0
shared	mixed	3	524288	5	6	6000	125142584	432000000	66	0	38258888	3563760	34695128	1127352	1852584	479472	4194304	31	2949120	16239080	309000	66	66	66	0
shared	mixed	3	524288	6	6	6000	124899208	432000000	66	0	38283600	3555592	34728008	1130768	1819704	443176	4194304	31	2949120	15943665	298250	66	66	66	0
